"content","key_term","concept","ls","Emotions","Contributor","title","URL","Created_time"
"Indeed, I fit the stereotype being good at math while growing up, but I wasn't very proficient in other sciences like physics or biology. When choosing a college and career, I followed my interests, not feeling forced into a path I didn't want to pursue. While not everything aligned with my desires, I enjoyed the learning process. As I explored more in college and adulthood, I catered to my preferences.",math,,Adolescence,"Interest, Pensiveness, Sadness",Winston,Thesis Interviewee,,"March 15, 2024 3:34 PM"
"There are many stereotypes that Asian Americans try to break. The most common ones include being good at math, science, computers, or playing video games all the time. A lot of Asian Americans are trying to break away from this by pursuing diverse interests, such as sports or creative hobbies. Some parents often encouraged us to excel in school, specifically in math, science, or musical instruments like piano or violin. This expectation sometimes restricts many Asian Americans from exploring other creative outlets. As we grow up, we start to realize the variety of things we can do. For me, it was sports like running and basketball. There are so many opportunities available nowadays for self-exploration and breaking stereotypes.",,"Asian, sports, stereotype",Adolescence,"Acceptance, Interest",Winston,Thesis Interviewee,,"March 15, 2024 3:33 PM"
"That's a good question. Pinpointing a specific moment when I questioned my American or Asian American identity is challenging. It's a realization that occurred over several years, influenced by my experiences. Whether it was comments made by others, conversations with my brother, tasks my parents needed me to do, or stories shared by people with similar experiences, these elements cumulatively shaped my identity. It's not an isolated identity crisis, but rather a universal phenomenon. Many Asian Americans share similar experiences and upbringings. You start to see patterns and realize that others have had similar journeys. These reflections often happen during high school or college when you question your identity and upbringing. However, it's not just one thing that defines this process but a myriad of experiences throughout my life.",,"adolescence, identity crisis, similar experiences, universal phenomenon",Adolescence,"Interest, Nostalgic, Pensiveness",Winston,Thesis Interviewee,,"March 15, 2024 3:33 PM"
"When sharing my story, I think it becomes more important to include my cultural and familial experiences as I grow older. Including details about the food I grew up eating, the language I speak, and the traditions my family practiced helps to define my identity as an Asian American, specifically Chinese American. These elements are integral to my story, and I believe this is why many people of Asian descent choose to highlight their cultural background.",,"cultural, food, identity, language","Early school years, Preschool years, Toddlerhood","Acceptance, Interest, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:32 PM"
"It's hard to be prepared for that question. I feel more ready for it now, aware of its intent, having heard others' experiences. It's something many Asian Americans are speaking up about. Yet, you don't fully grasp its implications until it happens to you personally. Answering this question is challenging as it seems to question your identity, which I believe isn't the best approach. It depends on who's asking, but overall, it's hard to provide a definitive answer.",,"Asian American experience, identity questioning, personal implications",,"Apprehension, Pensiveness",Winston,Thesis Interviewee,,"March 15, 2024 3:31 PM"
"Sure, many people ask, ""Where are you from?"" and even after I reply, ""From the U.S."" they follow up with, ""Where are you actually from?"" It's an assumption that I wasn't born here, even though I was. People usually expect me to say ""China"" when they inquire about my cultural identity. This happens frequently, based on appearances. I believe many Asian Americans born here have had similar experiences.",,"Asian American experience, cultural difference, racial identity",Adolescence,"Annoyance, Interest",Winston,Thesis Interviewee,,"March 15, 2024 3:31 PM"
"Verbal communication incidents were more common in my experience, not physical assault or attacks. These instances often didn't feel significant enough to bring up, but I believe many people encounter this form of verbal discrimination as a kid. It wasn't one person consistently mistreating me, but rather different occurrences. This is a common issue for immigrants, especially second-generation ones. ",,"immigrant experience, second-generation immigrant, verbal discrimination","Adolescence, Early school years, Young adulthood","Nostalgic, Pensiveness, Sadness",Winston,Thesis Interviewee,,"March 15, 2024 3:31 PM"
"As a minority, I didn't have many people to discuss my experiences with. This often led to feelings of embarrassment, being one of the few who looked a certain way or ate specific food. Now, as I interact with more friends who share similar experiences, I've grown proud of my background and cherish the stories I can share. Looking back, I realize there's no reason for embarrassment. The feeling of embarrassment was more prominent than anger. Although there were occasions where I felt anger, retrospectively, I was more upset about the incidents. The intensity of my feelings varied depending on when it happened, be it in college, middle school, or high school.","Appearance, China Town, FOB","cultural pride, embarrassment, minority experience",,"Acceptance, Embarrassment, Pensiveness",Winston,Thesis Interviewee,,"March 15, 2024 3:30 PM"
"There were instances of stereotypes and bullying due to my Asian American background. These incidents were sporadic, often in the form of verbal messages or interactions. Derogatory terms, like chink were sometimes used during basketball games. The impact of these words was more profound during childhood. It felt as though I was being judged by my appearance. While some might see these remarks as jokes, they generally conveyed a negative message. As a child, I felt a sense of embarrassment due to these experiences. It wasn't just about how I looked but also about my culture, the food I ate, and things associated with me. But now, I'm proud of my appearance and my culture.",,"Asian American experience, stereotype, verbal discrimination",Adolescence,"Acceptance, Embarrassment, Sadness",Winston,Thesis Interviewee,,"March 15, 2024 3:30 PM"
"Building relationships and friendships through playing basketball was crucial for me. It strengthened my connection with my family. Even though we don't play as much now, we remain close. Part of this closeness is due to our shared love for basketball, a common language that brought us together. Following sports teams like the Washington Wizards also exposed me to other sports such as baseball, football, and soccer. Engaging in these Americanized sports helped me better adjust to the culture around me and resonate more with kids growing up in the same environment.","Basketball, Sports","Americanized, basketball, connection, culture, family, sports",Adolescence,"Interest, Joy, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:30 PM"
"The Chinese community in the DC area is shrinking rapidly, making it increasingly harder for them(parent), especially as English is not their first language. My dad initially worked in a restaurant, but as it became more challenging, he switched to carpentry. He took on various jobs, from construction to fixing pipelines and even making furniture, showcasing his versatility.",parents,,Middle adulthood,"Admiration, Sadness",Winston,Thesis Interviewee,,"March 15, 2024 3:29 PM"
"Reflecting on my parents' qualities, they were relaxed and recognized our need to adapt to our environment, which included speaking more English. However, we still attended a weekend Chinese school to learn Mandarin, despite struggling to fully grasp it. They offered other classes there, but it was primarily for Mandarin, not Cantonese. Cantonese isn't popular in the area where we lived.",Chinese School,language,Adolescence,Interest,Winston,Thesis Interviewee,,"March 15, 2024 3:28 PM"
"We predominantly speak Cantonese with our parents, occasionally using English for words we don't know in Cantonese. Sometimes, especially with my younger brother, sentences would be half in Cantonese and half in English, which could be challenging to understand. In my case, I estimate about 80 to 90% of my communication was in Cantonese and the rest in English. This bilingual communication was mostly with my parents, as I felt more comfortable speaking to them.",language,"bilingual, language",Toddlerhood,,Winston,Thesis Interviewee,,"March 15, 2024 3:28 PM"
"Growing up, we recognized our parents' hard work. They labored tirelessly through our elementary, middle, and high school years. As we matured and required more financial support, we noticed their constant efforts even more. Unlike many of our school peers from wealthier families, our parents were not extremely wealthy, despite their dedication. This realization made us appreciate their efforts to raise us. This is a big deal for us, growing up as Asian Americans. We often found ourselves not only helping ourselves but also assisting our parents a lot since their English still isn't very good. For instance, helping our family with bills or translating was a significant part of our upbringing.",parents,,"Adolescence, Middle adulthood, Young adulthood",,Winston,Thesis Interviewee,,"March 15, 2024 3:27 PM"
"Regarding lunch preparation, we chose what we wanted to bring to school, which differed from the norm. My parents understood, recognizing that our experiences were distinct from theirs. They acknowledged our need to fit in through aspects such as food choices, assimilating with what other kids brought to school.",,,Adolescence,"Acceptance, Interest, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:26 PM"
"Indeed, we could relate to what you're talking about. My brothers and I often brought more westernized foods to school, such as peanut butter and jelly sandwiches, though these weren't typical at home meals. We also favored things like Lunchables, pre-prepared meals from grocery stores that were popular among kids. However, back then, we often felt embarrassed to bring lunch box with Asian food to school, a sentiment that has changed significantly today. When asked about the sense of embarrassment, it was more prominent during high school. We tended to bring more westernized food to fit in with our peers and see what they were bringing to school.",,,Adolescence,"Acceptance, Nostalgic, Pensiveness",Winston,Thesis Interviewee,,"March 15, 2024 3:25 PM"
"Growing up, I was fortunate to have a lot of exposure to various experiences from my elementary school years and upbringing. I found commonalities with my peers through shared interests, such as sports or school activities. We also bonded over similar experiences, like having the same teachers, navigating the same academic challenges, or pursuing similar paths in high school or careers. One of my closest friends in middle school and elementary school, who was also Asian, shared a passion for basketball. These commonalities throughout childhood really bring people together.",,,Adolescence,,Winston,Thesis Interviewee,,"March 15, 2024 3:24 PM"
"I enjoyed playing basketball and video games during school. Some of my close friends and I formed a high school basketball league. We played weekly games. Even though we never won a championship, we had a lot of fun. We made our own team and played a lot outside of school. My friends were diverse with Asian, Indian, Korean, and even Black backgrounds.","Basketball, Video Games",diversity,Adolescence,"Acceptance, Interest, Joy",Winston,Thesis Interviewee,,"March 15, 2024 3:23 PM"
"Friendship, to me, has been an intriguing journey. I moved once during my elementary school years, which led to a shift in my group of friends. As we progressed from elementary to high school, due to district boundaries, we often ended up in different schools. In high school, many of my friends attended different institutions, necessitating constant readjustments. My friends and I shared common interests like sports and video games, which meant that my friendships often revolved around basketball, watching sports, or playing Xbox games. These experiences led to a variety of friendships throughout elementary, middle, and high school, and a period of readjustment as we all moved to different schools.","Sports, school",,"Adolescence, Early school years, Young adulthood","Interest, Nostalgic, Pensiveness",Winston,Thesis Interviewee,,"March 15, 2024 3:23 PM"
"I began playing basketball in third grade, around the same time as my older brother. Our mutual competitiveness made us better players. We often kept score, constantly pushing each other to improve. This sport was a significant part of my upbringing, as my family, including my brothers and cousins, all shared an interest in playing and watching basketball.",Basketball,,Early school years,"Admiration, Interest, Joy",Winston,Thesis Interviewee,,"March 15, 2024 3:22 PM"
"Absolutely, he did and still does guide us in many ways. My elder brother took on the responsibility of navigating us through aspects of life that our parents, due to their unfamiliarity with the system here, couldn't advise on. I think that's an accurate depiction of his role. We attended the same schools from elementary through high school. Even in college, despite being on opposite coasts, I continued to seek his advice. I reached out for his guidance, a practice that didn't stop after high school.","Sibling, school",,Adolescence,"Admiration, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:22 PM"
"Having two brothers is advantageous as it provided reinforcement when convincing our parents. If there was just one child, it would have been different. My older brother is very assured, great at conversation and making friends. His amiable nature attracts good people. He was a role model growing up. He's creative, enjoys designing, and is now making a career out of it. He was more artistic than me, often drawing and painting. These qualities define him well.",Sibling,,"Adolescence, Early school years, Young adulthood","Admiration, Interest, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:21 PM"
"We didn't often eat pasta, but we frequently enjoyed Asian food, particularly Chinese. We cherished home-cooked meals, particularly dishes like dumplings, rice meals, and noodle dishes. My favorite is the popular Cantonese dish, egg with tomato, which my dad often prepared. We also had a variety of foods from different cuisines, like Korean and Thai. Overall, my palate leaned heavily towards Asian cuisine.",,,Adolescence,"Interest, Joy",Winston,Thesis Interviewee,,"March 15, 2024 3:21 PM"
"We often celebrated with birthday cakes and home-cooked food, especially dumplings. Those were memorable family moments, preparing and enjoying dumplings together for different occasions. For big celebrations, we sometimes drove a long way to have dim sum. We also went out for dinner to mark special events.",Dumplings,"cultural, family, food",Toddlerhood,"Joy, Nostalgic",Winston,Thesis Interviewee,,"March 15, 2024 3:20 PM"
"Sometimes, I would save the money from the red envelope. I never spent it right away. It was like the tooth fairy tradition, where you kept it under the pillow for a while. I would leave the red envelope somewhere close, for good luck and energy. After some time, I would save the money. As a child, I didn't really spend it, except for the occasional video game. Usually, I just kept it until I needed it.",Red Envelope,,"Adolescence, Early school years, Toddlerhood","Nostalgic, Serenity, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:20 PM"
"We primarily celebrated holidays like the Lunar New Year, significant in our culture. Celebrations usually involved family gatherings or dinners. Instead of conventional gifts, we received red envelopes on birthdays and holidays. These occasions were often marked by cooking and enjoying food together. My dad, a restaurant chef, had a passion for cooking. He often tried new recipes, resulting in a plethora of home-cooked Chinese meals. To me, the meanings of red envelope vary by location, but it's largely about good luck, health, and positive energy. Receiving it from parents, uncles, aunts, or grandparents feels significant. To boil it down, it signifies good health, luck, and positive energy.",,,Adolescence,"Interest, Joy",Winston,Thesis Interviewee,,"March 15, 2024 3:19 PM"
"It was challenging for my parents to guide us as they didn't grow up in the States and lacked experience with the education system, job market, and even the culture here. Their experiences were vastly different from ours, making it difficult for them to advise us. We mostly learned by ourselves, navigating through life figuring things out, as they couldn't share much from their own upbringing. The conversation wasn't largely centered around these topics. They occasionally offered advice, but it was usually after the fact. For instance, after we applied to colleges, they would advise on what we should do, where we should go, or which was a better financial option. However, they didn't provide much guidance about academics or the process of getting into school.",parents,,,"Nostalgic, Pensiveness, Sadness",Winston,Thesis Interviewee,,"March 15, 2024 3:18 PM"
"My parents were fairly liberal and open to what I chose to pursue. They weren't vocal about it, but there was an implicit understanding that I was probably going to pursue a career in technology. The hard work they put into raising us instilled in me and my brothers a desire to make them proud. This didn't translate into pressure, but rather an internal motivation to do our best. The idea of making them proud became more prominent during high school when we began thinking about our futures. Despite this, there was no high pressure on us as we were already performing well in school.",,,,,Winston,Thesis Interviewee,,"March 15, 2024 3:17 PM"
"As a middle child, I feel I found a good balance. I received a lot of hand-me-downs but also enjoyed new experiences. I was fortunate to have supportive parents and brothers who cared for me, creating a well-rounded environment. I often emulated my older brother, from his style to his attitude, which shaped my growth. Despite only being a year apart, he was a role model for me, and I followed in his footsteps. We grew up in a similar environment, and many of my actions were influenced by him. Looking back, we shared many experiences and grew up closely.",,,,"Admiration, Joy, Serenity",Winston,Thesis Interviewee,,"March 15, 2024 3:16 PM"
"It was indeed helpful having an older brother. Similarly, my younger brother, who used to be a bit of a goofball, has matured significantly. We looked to each other for assistance and guidance. He's an intelligent younger brother and I'm fortunate to have grown up with two wonderful brothers. If time permits, I have plenty of shared stories to tell.",,,Young adulthood,"Joy, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:16 PM"
"That's a great question, it brings back fond memories. As kids, we'd fight occasionally but mostly for fun. We learned and grew from each other. An example would be playing basketball or going to the park to chat about our day. Since my older brother is only a year older, we went to the same schools and had similar experiences. Growing up in the states, having an older brother who had gone through things first was beneficial. He provided inspiration and a roadmap. With our parents being immigrants from China, they had less understanding of the education system here. However, having an older brother who went through it before me provided insights that helped me navigate school and my career after graduation.",Sibling,,Adolescence,"Admiration, Nostalgic, Trust",Winston,Thesis Interviewee,,"March 15, 2024 3:13 PM"
"「For a while, I thought Ken bore a striking resemblance to Henry Cho, a Korean American comedian I’d seen doing stand-up on cable. Cho had an easy, accommodating smile and a singsong drawl. His shtick was that he was an observational comic and that these observations came from an Asian man in the South. Cheerful, self-effacing replies to casual racism.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/doCtsHA",,"Asian stereotype, memoir, racial identity",Adolescence,"Acceptance, Interest, Joy",,,,"March 14, 2024 10:43 PM"
"「Early during sophomore year, I came upon a flyer for Slant, a long-standing campus Asian American newspaper that a couple seniors were trying to relaunch. I finessed a semester’s experience with Slant into an internship at a community newspaper in Chinatown, where I wrote about film festivals, art exhibitions, and local theater performances. Working for a newspaper that normal people had actually heard of seemed impossible. But I was unbothered, happy to paint myself into a corner, so long as it was mine.」

—Stay True: A Memoir (Pulitzer Prize Winner)，作者：Hua Hsu
https://a.co/ibbwQ7T",,"memoir, racial identity, racial representation","Adolescence, Early school years, Young adulthood","Acceptance, Interest, Joy",,,,"March 14, 2024 10:41 PM"
"“Growing up, Japanese Americans suggested a strange model of who all of us newer immigrants might become, a stepping-stone, generations into the future, toward some effortless sense of belonging.”

— Stay True: A Memoir (Pulitzer Prize Winner) by Hua Hsu
https://a.co/6SNGRMp",,,Adolescence,"Nostalgic, Pensiveness",,,,"March 13, 2024 7:30 PM"
"“We were both Asian, conscious of all the stereotypes about being low maintenance and good at school. Yet we had come from such different worlds. I remember how odd it was that he sometimes forgot to take his shoes off when he came over.”

— Stay True: A Memoir (Pulitzer Prize Winner) by Hua Hsu
https://a.co/dAjrBAw",school,"Asian, cultural difference, stereotypes",Adolescence,"Interest, Nostalgic",,,,"March 13, 2024 7:29 PM"
"“People began attacking one another, drawing a line in the sand between Black and white. It was as if he were describing some dramatic bar brawl. “This white chick started crying,” he said, and then more people started crying. It was unclear where he stood in this conversation, if anyone noticed him to begin with. Quotations about complicity, victimhood, and color-blind racism were lobbed across the room, accusations flew inches from his face, and he was in the middle of it, neither Black nor white, scrutinizing the gestures and details that nobody else picked up on.”

— Stay True: A Memoir (Pulitzer Prize Winner) by Hua Hsu",,,Adolescence,"Anger, Apprehension, Vigilance",,,,"March 13, 2024 7:29 PM"
"in the beginning of production, my father died, and this whole film was about thanking our parents, and that event was a surprise for my family. My mom would die a couple of years later, and a lot of these issues boiled up in me. And of course, the world was affecting me in that way, but I think it got magnified with my trying to understand my grief for my father. But he came to New York in the late ’60s, where he faced much more hardship with xenophobia and that type of prejudice than I ever did, and he was formed by it. It was a part of his identity as a father. And when making this movie, where there were characters like this that were dealing with that, it was echoed louder in the film.",parents,,"Early school years, Middle adulthood, Preschool years","Grief, Nostalgic, Sadness",Peter Sohn,Peter Sohn Revisits The Emotional Box Office Comeback Of 'Elemental' [Interview],file:///Users/wuyuming/Zotero/storage/DLQDUH7P/peter-sohn-revisits-the-emotional-box-office-comeback-of-elemental-interview-20231124.html,"March 13, 2024 12:30 PM"
"I had experienced that as a kid with my father, where I was ashamed of my dad for yelling at someone that hurled an epitaph at us. And I don’t know why I did that and I was too young. But there’s a moment like that in the film, where Ember was denied going to see a flower because the fire was too dangerous, and it connected to something that was this emotional moment, where Wade brings her through this miracle of fake science, of bringing air down there for her to breathe and see the wisteria flower for the first time. ",,"adolescence, connection, emotional moment",Adolescence,"Joy, Pensiveness, Sadness",Peter Sohn,Peter Sohn Revisits The Emotional Box Office Comeback Of 'Elemental' [Interview],file:///Users/wuyuming/Zotero/storage/DLQDUH7P/peter-sohn-revisits-the-emotional-box-office-comeback-of-elemental-interview-20231124.html,"March 13, 2024 12:27 PM"
"I hadn’t thought about it that way. I was a very naive and jerk kid to my parents, because growing up in that world I didn’t realize how hard it is. When my parents were telling me their stories of having survived the Korean War or they had nothing, I would say, “OK, can I play video games now?” I was that type of kid. 

The older I got, it started to sink in. How did they do this without knowing the language? When I got married and had kids, it started to dig into me about how much I appreciated what they had given. So, that opening was to show how hard it was for them, as outsiders coming into this new world.",parents,,Adolescence,"Nostalgic, Pensiveness",Peter Sohn,‘Elemental’ Director Peter Sohn on How the Periodic Table and His Parents’ Immigration Story Inspired Pixar’s Latest Feature,file:///Users/wuyuming/Zotero/storage/IVA4WLQS/elemental-peter-sohn-pixar-periodic-table-1235647070.html,"March 13, 2024 12:18 PM"
"“I got an email from someone saying, ‘Because it was doing so well in Korea, that your parents were looking down on you,’ so I started seeing it in a very different way. I lost both of my parents while making [this movie], so that it would do so well there meant the world to me,” said Sohn. “And now that it’s on Disney+, that people have come up to me and have reached through social media, connecting to this second-generation love story, has been overwhelming. You spend so much of your life doing this work, all you want to do is to connect.”",,,"Middle adulthood, Young adulthood","Joy, Nostalgic, Sadness",Peter Sohn,The Journey from Box Office Flop to Hit Was Emotional for ‘Elemental’ Director Peter Sohn,https://www.indiewire.com/features/animation/elemental-pixar-movie-hit-animated-peter-sohn-1234937483/,"March 13, 2024 12:06 PM"
"Like Ember’s parents, Sohn’s mother and father were fiercely proud of their Korean roots and, like so many first-generation American immigrants, determined to hold onto their cultural identity in raising their child. Which is why when Sohn started to hear a significant part of the film’s box office resurgence was based on it catching on in South Korea.",,,"Adolescence, Middle adulthood, Young adulthood",,Peter Sohn,The Journey from Box Office Flop to Hit Was Emotional for ‘Elemental’ Director Peter Sohn,https://www.indiewire.com/features/animation/elemental-pixar-movie-hit-animated-peter-sohn-1234937483/,"March 13, 2024 12:04 PM"
"Now, at 23 years old, Daignault finally understands the important things she lost along with her mother tongue: a connection to her culture, a sense of belonging and even the confidence to identify as an ethnic woman.",language,,Adolescence,"Acceptance, Nostalgic, Sadness",KARINA ZAPATA,Preserving mother tongues: Why children of immigrants are losing their languages,https://calgaryjournal.ca/2019/11/12/preserving-mother-tongues-why-children-of-immigrants-are-losing-their-languages/,"March 12, 2024 4:36 PM"
"As second-generation immigrants, we try to navigate life with intense pressure to fit in, all the while trying to stay connected to our roots despite the overwhelming fear of being judged. We learn just how impossible it is to live up to our parents' expectations and to overcome the image society has of immigrants. ",,"fear, judgment, second generation immigrant",Adolescence,,Shekinah Natan,A third culture: Navigating second-generation identity,https://www.canculturemag.com/feature-1/2022/11/17/a-third-culture-navigating-second-generation-identity,"March 12, 2024 4:28 PM"
"As I grew older, I met more of my extended family, having titas and titos (aunts and uncles for Filipinos) come over more often, I started to develop this sense of belonging that I once yearned for.",,belonging,Adolescence,"Interest, Joy, Pensiveness",Shekinah Natan,A third culture: Navigating second-generation identity,https://www.canculturemag.com/feature-1/2022/11/17/a-third-culture-navigating-second-generation-identity,"March 12, 2024 4:27 PM"
"Whenever I would talk about art school, my parents told me to keep it as a hobby and that there was no money in art and that my career options were limited to becoming a doctor, an engineer or a lawyer– an omnipresent diatribe heard universally by the children of immigrants.",parents,,,Sadness,Shekinah Natan,A third culture: Navigating second-generation identity,https://www.canculturemag.com/feature-1/2022/11/17/a-third-culture-navigating-second-generation-identity,"March 12, 2024 4:25 PM"
"According to a 2016 census by https://www12.statcan.gc.ca/census-recensement/2016/as-sa/98-200-x/2016017/98-200-x2016017-eng.cfm, 16.9 percent of immigrants are reported to only know English and 59.6 per cent to know English and at least one other language. Oftentimes I wished my parents could have done more and encouraged me to learn, but I now know my parents only stripped me of my ancestry out of necessity. To survive, they, along with my sister and I, had to conform to western society.",language,"language, second generation immigrant",Adolescence,"Acceptance, Nostalgic, Sadness",Shekinah Natan,A third culture: Navigating second-generation identity,https://www.canculturemag.com/feature-1/2022/11/17/a-third-culture-navigating-second-generation-identity,"March 12, 2024 4:23 PM"
"""I, like many second-generation immigrants, was made to feel primitive or ""FOB"" – or Fresh off the Boat, a derogatory sentiment violently aimed at non-white communities who exist in predominantly white spaces– if we boasted about our culture and ""whitewashed"" if we did not know enough because we were forced to assimilate. See that's the thing about living in western society: no matter how inclusionary or diverse they appear to be, you’re made aware of your differences and that’s when the erasure of culture, conscious and subconscious, begins""",,assimilation,"Adolescence, Middle adulthood, Young adulthood","Anger, Disgust, Sadness",Shekinah Natan,A third culture: Navigating second-generation identity,https://www.canculturemag.com/feature-1/2022/11/17/a-third-culture-navigating-second-generation-identity,"March 12, 2024 4:11 PM"
"“If you came back, you wanted to leave again. If you went away, you wanted to come back. Wherever you were, you could hear the call of the homeland, like the note of a herdsman’s horn. Far away in the hills, You had one home out there and one over here, And yet, you were an alien in both places. Your true abiding place was the vision of something very far off And your soul was like the waves, always restless, forever in motion, Never at home.” “Only those who risk going too far can possibly find out how far they can go.”",,belonging,Adolescence,"Nostalgic, Pensiveness",Charlotte Turner Smith,The Emigrants (POEM),https://en.wikipedia.org/wiki/The_Emigrants_(poem),"March 12, 2024 1:00 PM"
"“A fly—what? They have a two-day lifespan? Desire to see as much as you can while I’m still young with no children, freedom! I can tell you this though . . . when I was younger, probably a Tree, want to be rooted, connections, and branches as my family. Now, not so much, I have as an adult connected with my family so I don’t need that so much. I want freedom now!” ",tree,,Young adulthood,"Nostalgic, Pensiveness",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:54 PM"
"“Stood out in school, you’re the new girl from overseas, definitely a slap in the face. Went back to Korea, preteen years, sixth to eighth grades, I had a hard time fitting in overseas, all were Asian and I was still white American.”",,,Adolescence,"Distraction, Nostalgic, Sadness",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:54 PM"
"“Like a home, home is where the heart is, no matter where I am or move to, PR is my home.”",home,"TCK, cultural difference, identity",Adolescence,,Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:53 PM"
"“At first, like a tree, rooted and connected and family were the branches. But now, like a fly, having a desire for freedom.” ",,,Adolescence,"Distraction, Nostalgic",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:53 PM"
"“Like a teenager in an American high school cafeteria, filled with all its different groups. TCKs fit in with all groups, going from one to the next, knowing how to adapt and relate to differences (in schools) yet not fitting in to any.”",,"TCK, adolescence, marginal group",Adolescence,,Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:53 PM"
"“Like a beacon, draws me back. I feel like a global chameleon, I blend into my surroundings, adjust to cultures, don’t change my personality, but may have an external look.” ",,,Adolescence,"Acceptance, Interest, Nostalgic",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:53 PM"
"“T. S. Eliot’s (as quoted in Denzin & Lincoln, 2003b, p. 71) Little Giddings, last of the Four Quartets : We shall not cease from exploration And the end of all our exploring Will be to arrive where we started And know the place for the first time.”” ",,,Young adulthood,,Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:53 PM"
"“Van Reken explained, “in one airplane ride, my world was gone; no way to say good-bye to my home” (personal communication, August 2001).”",home,TCK,Adolescence,"Grief, Nostalgic, Sadness",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:52 PM"
“I was a little familiar with life in the United States because of every summer and Christmas and being with family in New York. But there would have been a major social change from Puerto Rico to the United States without this back ’n’ forth life every year.”,,,Young adulthood,"Acceptance, Interest, Nostalgic",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:52 PM"
"“I now relate to and associate with people like I’ve always been here in the United States. But when I meet someone with a similar background, I remember how different my life was and the ease and naturalness of relating to that person, I have a sense of belonging with that person.” ",,belonging,Adolescence,"Acceptance, Nostalgic",Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:52 PM"
"““When I started to go to college in North Carolina, I started to ‘fit in’ and felt ‘normal.’ I am adjusted now but am rearing to go back.””",,,Young adulthood,,Enrique Espinetti,THE THIRD CULTURE KID (TCK) EXPERIENCE: ADULT-TCKS’ REFLECTIONS ON THEIR MULTICULTURAL CHILDHOOD ITS IMPACT ON STUDENT-TEACHER RELATIONSHIPS IN U.S. CLASSROOMS AND THEIR RECOMMEND,,"March 12, 2024 12:51 PM"
